specification,n,k,F,t,I(0) 5%,I(1) 5%,verdict,theta(neer)
dollar alone,104,1,1.629,-1.128,4.996,5.973,fail to reject,-0.875
+ 7 controls fixed,104,1,11.084,-4.697,4.996,5.973,reject,0.004
